85  0.001587001044866494 "more"
86  0.001581073218936754 "other"
87  0.001514428764182541 "see"
88  0.001499652786313557 "|"
89  0.001489540612668705 "can"
90  0.001477205504300202 "only"
91  0.001444428113865167 "And"
92  0.0014194527884406 "now"
93  0.001346618986024453 "very"
94  0.001303729421944568 "way"
95  0.001300373226381406 "should"
96  0.00128877909625412 "back"
97  0.001273610835786843 "made"
98  0.001260709096998585 "day"
99  0.001257134966658594 "think"
100  0.001256960618837131 "There"
101  0.001256829857971034 "about"
102  0.001234600510734508 "like"
103  0.001216642685123824 "She"
104  0.001179114316553925 "What"
105  0.00117497355579418 "first"
106  0.001154487686772283 "any"
107  0.00115400823026326 "than"
108  0.001153964643307894 "In"
109  0.001141106491475002 "say"
110  0.001136355513340136 "down"
111  0.001136268339429405 "may"
112  0.001117569535577504 "must"
113  0.00111412616610361 "You"
114  0.001106411275003875 "hand"
115  0.001093117253617325 "*"
116  0.001088235514616362 "go"
117  0.00108540236251759 "some"
118  0.001084879319053201 "good"
119  0.00108130518871321 ")"
120  0.001080738558293456 "much"
121  0.001073546710658109 "us"
122  0.001066311276067396 "—"
123  0.001042643559303801 "come"
124  0.001041335950642829 "never"
125  0.001033446711721631 "well"
126  0.001033272363900168 "same"
127  0.001026647146684576 "two"
128  0.001026472798863113 "your"
129  0.001012917255744369 "before"
130  0.001010302038422424 "A"
131  9.68850843869608e-4 "thought"
132  9.619641049218216e-4 "No"
133  9.538569312237945e-4 "head"
134  9.510673660803872e-4 "am"
135  9.508930182589243e-4 "│"
136  9.406936707033418e-4 "over"
137  9.402578011496844e-4 "+"
138  9.33196714380435e-4 "little"
139  9.168951930736492e-4 "long"
140  9.138005192426819e-4 "["
141  8.99024541373697e-4 "asked"
142  8.927480198010308e-4 "eyes"
143  8.916583459168874e-4 "great"
144  8.883457373090913e-4 "own"
145  8.881278025322626e-4 "("
146  8.75618346342296e-4 "after"
147  8.578348685530752e-4 "came"
148  8.494225861674879e-4 "room"
149  8.489431296584649e-4 "looked"
150  8.454997601845715e-4 "how"
151  8.43930629791405e-4 "too"
152  8.329467170392393e-4 "upon"
153  8.274111737077906e-4 "life"
154  8.207859564921986e-4 "make"
155  8.175169348397682e-4 "just"
156  8.104994350258846e-4 "get"
157  8.09758456784667e-4 "side"
158  8.097148698293013e-4 "our"
159  8.085816089897921e-4 "here"
160  7.99646283139816e-4 "They"
161  7.973361745054319e-4 "might"
162  7.896212834056964e-4 "went"
163  7.88531609521553e-4 "This"
164  7.856112835120486e-4 "even"
165  7.828217183686414e-4 "nothing"
166  7.827781314132757e-4 "most"
167  7.826473705471785e-4 "We"
168  7.803372619127944e-4 "world"
169  7.703994360894063e-4 "place"
170  7.577592190333425e-4 "moment"
171  7.572797625243193e-4 "right"
172  7.523544365679911e-4 "]"
173  7.512211757284818e-4 "last"
174  7.441600889592325e-4 "its"
175  7.435498715841121e-4 "where"
176  7.42896067253626e-4 "part"
177  7.361400891719368e-4 "though"
178  7.297328067331734e-4 "found"
179  7.293841110902475e-4 "'"
180  7.270304155004977e-4 "take"
181  7.231947634283128e-4 "tell"
182  7.214076982583176e-4 "knew"
183  7.204051982849057e-4 "men"
184  7.194898722222251e-4 "years"
185  7.189232418024705e-4 "If"
186  7.05236937817629e-4 "such"
187  6.973041119410649e-4 "again"
188  6.910275903683987e-4 "saw"
189  6.900686773503525e-4 "himself"
190  6.895456338859636e-4 "done"
191  6.696263952838217e-4 "took"
192  6.646138954167619e-4 "God"
193  6.644395475952989e-4 "shall"
194  6.622166128716463e-4 "end"
195  6.56637482584832e-4 "door"
196  6.523659609589897e-4 "face"
197  6.492277001726567e-4 "away"
198  6.465253089399809e-4 "want"
199  6.434742220643794e-4 "house"
200  6.367618309380558e-4 "put"
201  6.362387874736669e-4 "don’t"
202  6.33579983196357e-4 "night"
203  6.303981354546581e-4 "these"
