194  0.01328839143266434 "away"
195  0.01314848063765836 "these"
196  0.01305525589423594 "put"
197  0.01275450777123475 "want"
198  0.01260904244218314 "face"
199  0.01250293480400297 "old"
200  0.01243083343374521 "night"
201  0.0124212102471203 "still"
202  0.01240875242474709 "left"
203  0.01236382801402374 "house"
204  0.01230121375777503 "told"
205  0.01229591381270877 "door"
206  0.01226526729593313 "people"
207  0.01224504071247618 "work"
208  0.01218806886441419 "give"
209  0.01205275980611121 "don’t"
210  0.01190528079585771 "those"
211  0.01186380518836407 "seen"
212  0.01183563020321765 "end"
213  0.01181585088061574 "going"
214  0.01171918574486689 "thing"
215  0.01169424411801551 "heard"
216  0.01168620955233071 "many"
217  0.01153558605927117 "Jack"
218  0.01115175086603291 "look"
219  0.01105479431057232 "few"
220  0.01095648441196266 "also"
221  0.01077499619139234 "When"
222  0.01076197173655648 "off"
223  0.01073075025467952 "through"
224  0.01067397313428967 "hands"
225  0.0106605838676429 "find"
226  0.01058726520726763 "Oh"
227  0.01058570395097757 "17"
228  0.01046476895831404 "because"
229  0.01035193138377392 "let"
230  0.01034530684873035 "course"
231  0.01021003905491405 "something"
232  0.01020780143035039 "Then"
233  0.01019098357389602 "yet"
234  0.01013563346112034 "far"
235  0.01011046296756872 "got"
236  0.01004513766684817 "while"
237  0.009984044507241833 "turned"
238  0.009922214329616187 "mind"
239  0.009905587224612506 "being"
240  0.009851289552652588 "country"
241  0.009828278394968738 "felt"
242  0.009806685088631008 "Yes"
243  0.009698343302819342 "As"
244  0.009602374048966345 "under"
245  0.009590444107310296 "every"
246  0.00958176261357279 "things"
247  0.009388212454656012 "At"
248  0.009380935984627449 "sure"
249  0.009346250069965948 "ever"
250  0.009307465561105047 "three"
251  0.009171216345537395 "always"
252  0.009161987402907789 "young"
253  0.00908914629270254 "whole"
254  0.008897967759324537 "Mr"
255  0.008895452690788867 "whom"
256  0.008827655496997641 "better"
257  0.008794039603960463 "once"
258  0.008769696129787513 "fact"
259  0.008729320298277474 "love"
260  0.00859820404931114 "without"
261  0.00846990416825799 "That"
262  0.008403897605178977 "Why"
263  0.00836509510045557 "Well"
264  0.00830104357183298 "case"
265  0.008245647701394205 "believe"
266  0.008223799077058386 "father"
267  0.008218825500658498 "days"
268  0.00812378099709384 "So"
