#
# f1 and f2
#
#
# f1	f2
0.723884	0.940116
-0.12109	-0.82267
-0.12415	-0.63889
-0.35285	-0.84532
0.134719	-0.19938
0.659142	0.822921
-0.07690	-0.54639
0.299604	0.409509
0.181286	0.148237
0.402451	0.597434
0.720656	0.963970
0.318182	0.553645
0.468237	0.764998
-0.33715	-0.90394
0.416719	0.697895
-0.07695	-0.14467
0.073344	0.211065
-0.19573	-0.14515
0.543301	0.928391
0.464793	0.547876
-0.29846	-0.83108
0.217337	0.266607
0.010305	-0.06215
-0.08837	-0.36175
0.583655	0.700093
0.373542	0.598491
0.441272	0.522478
0.340820	0.673672
0.310079	0.740917
-0.32953	-0.65636
0.687130	0.981859
-0.18432	-0.57768
-0.09952	-0.64261
0.418728	0.694414
-0.00959	0.107475
-0.30466	-0.80588
0.507477	0.882395
0.358534	0.834770
0.608378	0.882803
0.637475	0.891498
0.056343	-0.17163
-0.00831	-0.03607
-0.06568	-0.20828
0.269110	0.450566
0.149392	-0.21684
-0.31778	-0.90904
0.460845	0.895808
0.603153	0.915471
0.274831	0.500243
-0.08628	-0.42295
0.638816	0.874506
0.035243	0.035305
0.211786	0.147479
0.622019	0.902452
0.261113	0.518583
0.067214	-0.17460
-0.31831	-0.87280
0.608496	0.948992
-0.25147	-0.69413
0.290013	0.399010
0.589312	0.691811
0.021974	0.032175
-0.05118	-0.58453
-0.11469	-0.64950
0.049576	-0.23174
0.069571	0.021721
0.385983	0.486299
1.000000	1.000000
-0.09926	-0.69081
-0.26007	-0.77036
0.283036	0.738276
0.277843	0.738017
0.094749	-0.38873
0.017909	-0.37866
0.047071	-0.67360
0.457197	0.732910
0.490416	0.799539
0.567175	0.767170
-0.22513	-0.62955
-0.07769	-0.33853
-0.27937	-0.72725
0.495801	0.799572
0.617270	0.821942
-0.33978	-0.81183
-0.18402	-0.66423
0.492221	0.625372
-0.00750	-0.40456
-0.19992	-0.71425
0.143563	0.026840
0.613828	0.909241
0.179923	0.675979
0.678111	0.878246
0.448310	0.559910
0.378171	0.179270
0.619578	0.756290
0.428964	0.520843
0.798496	0.981484
-0.19924	-0.52501
0.123534	-0.57803
-0.10880	-0.17081
0.217807	0.009710
-0.08706	-0.44883
0.701806	0.975724
0.543813	0.880313
0.004530	-0.03363
0.735911	0.862591
0.140698	0.325881
0.497742	0.931206
-0.02951	0.015911
-0.21752	-0.33671
0.090432	-0.09799
-0.45269	-0.92431
0.487997	0.923388
0.081038	0.255670
-0.02639	-0.64323
0.372873	0.151512
0.093622	0.314782
0.366154	0.590726
-0.19387	-0.54247
0.356289	0.452642
0.471894	0.958064
0.161258	0.279419
-0.26479	-0.68063
0.212890	0.278235
0.651941	0.887575
0.690686	0.953978
0.153802	0.562633
0.284240	0.519146
-0.08408	-0.44031
0.521032	0.872376
-0.05998	-0.36957
-0.40060	-0.86631
0.441154	0.635478
-0.42642	-0.86792
0.630733	0.679419
-0.00732	-0.56831
0.216782	0.370554
-0.42058	-0.76085
-0.01454	-0.17549
-0.37332	-0.83351
0.449708	0.880892
0.127682	0.299681
0.037304	0.337053
0.583040	0.953698
0.433279	0.490853
0.328043	0.590483
-0.09311	-0.25040
-0.08455	-0.20764
-0.14495	-0.64705
-0.17157	-0.70405
0.340088	0.028665
0.280883	0.344055
-0.07823	-0.49026
-0.33244	-0.86563
-0.13293	-0.57916
0.261072	0.511344
-0.15417	-0.42425
-0.08184	-0.59734
0.680486	0.972308
0.544157	0.668532
0.366932	0.729472
0.347013	0.380163
0.313254	0.238046
0.026329	-0.25378
0.347106	0.724174
0.596212	0.924079
0.692363	0.962532
-0.18826	-0.66087
0.356850	0.546297
0.740697	0.960372
0.005036	-0.20718
0.255862	0.429025
0.588582	0.940684
0.138966	0.051570
0.362352	0.636967
-0.35733	-0.92342
0.069221	0.249002
0.385992	0.539915
-0.52147	-0.90939
0.003702	0.060303
0.191314	0.156557
0.437714	0.479344
0.504874	0.903855
0.076155	0.235233
-0.29284	-0.81666
-0.31821	-0.77425
0.190367	0.228143
0.152641	0.377193
0.496879	0.845840
0.373936	0.674149
0.499805	0.912312
0.567840	0.810175
0.520787	0.688790
0.518456	0.692308
0.607970	0.950574
0.670831	0.899886
0.217390	0.105715
0.343007	0.829985
0.135499	0.334631
0.459396	0.948721
-0.21656	-0.65767
-0.18420	-0.83699
-0.53464	-0.96947
-0.36342	-0.90927
0.351528	0.732499
0.326839	0.746790
0.229576	0.394855
-0.36274	-0.85789
-0.02824	-0.34716
-0.00092	-0.25076
0.556791	0.944098
-0.37278	-0.49383
0.629910	0.903509
-0.11976	-0.33104
-0.17895	-0.65150
-0.20499	-0.60675
-0.33002	-0.82812
0.399978	0.741246
0.485558	0.846317
0.314230	0.175335
-0.18024	-0.77995
0.090185	0.287969
0.074557	0.474755
0.022958	0.153736
0.796994	0.978162
0.406325	0.587041
0.673086	0.884617
-0.05160	-0.41708
0.450685	0.853638
0.740249	0.955611
0.397007	0.596598
-0.12331	-0.49917
0.437346	0.566794
0.320412	0.732744
-0.00391	0.139298
0.299781	0.512055
-0.31131	-0.76152
0.445910	0.520614
-0.47038	-0.92799
0.566898	0.874176
0.686026	0.956951
0.260503	0.673654
0.588698	0.839027
0.189020	-0.15587
0.660141	0.918801
0.253650	0.520328
-0.08432	-0.64856
-0.42141	-0.90857
0.199070	0.282704
-0.10031	-0.59951
0.786670	0.965283
0.426607	0.653843
0.014611	-0.49144
0.353393	0.519537
-0.12435	-0.61459
-0.25740	-0.85617
0.080649	-0.15454
-0.06958	-0.22450
0.138658	-0.10896
0.218251	0.428875
0.160723	0.333792
-0.41157	-0.91010
0.463709	0.714251
