#
# Gaussian-cosines vs MI
#
#
# goe	mi
0.559317	-0.50909
0.259167	2.791419
-0.05105	-4.45310
0.323229	8.054223
0.070936	-3.16903
0.164933	-1.23350
0.096164	-3.72487
0.025575	-6.36288
0.044766	-1.30395
0.155157	-4.74149
0.132047	-1.40222
0.015536	-2.91261
0.046094	-2.80124
0.128282	-1.96547
0.334608	-1.37380
-0.04230	-6.80795
0.083050	-3.46349
0.075382	-1.36350
-0.07805	-1.91772
0.221895	-0.14940
0.191431	-1.25967
0.280491	2.143147
0.233299	-0.25702
0.266381	1.609037
0.219466	-1.14267
0.206574	-0.19394
0.136148	0.953700
0.503312	2.536905
0.110548	9.448017
0.076749	1.173694
0.654984	-9.46420
0.400521	-4.81589
1.000000	10.11407
0.260382	-11.3793
0.166760	-11.8213
0.283219	-12.3834
-0.25801	-11.1183
-0.43134	-10.3759
-0.36902	-10.4076
0.185993	-10.9257
-0.04672	-10.2623
0.159229	-11.9536
-0.10035	-11.3391
0.230279	-12.1070
-0.27750	-11.3881
-0.12871	-11.3730
0.517222	-13.9411
0.349640	-11.4177
-0.27587	-11.3681
0.160543	-3.83376
-0.39011	-9.29458
0.331125	-11.8036
-0.42941	-10.4534
0.476933	-11.5207
-0.26887	-10.3839
0.004286	-16.1067
0.422859	-10.8919
-0.36372	-11.2526
-0.21766	-9.36418
-0.28799	-11.9087
-0.41632	-10.6267
0.050359	-10.3149
0.364507	-12.1005
0.188334	-11.4450
-0.27041	-11.6882
-0.34005	-9.24555
0.500874	-13.9596
0.468674	-13.5554
-0.37855	-10.5906
0.020472	-9.82431
0.450070	-4.86568
-0.35337	-10.4614
0.447522	-11.2860
0.375188	-12.4948
-0.39247	-10.6991
-0.36646	-10.1401
0.441782	-11.5145
-0.15673	-13.0700
0.425206	-12.0295
-0.14505	-8.45096
0.242658	-11.7688
0.123234	-8.90915
0.029746	-11.4071
-0.26694	-10.4448
-0.29978	-9.66697
-0.20258	-10.7123
0.080018	-7.96513
0.617069	-3.03352
0.490303	-12.8199
0.614357	-14.0364
0.621308	  -inf.0
0.507918	-9.11221
0.419101	  -inf.0
-0.03542	-5.73654
-0.09187	-3.86032
0.368390	-3.41932
0.895379	-1.14281
0.481962	-4.36096
0.312471	-4.15726
0.110099	-6.74215
0.499735	-2.29773
1.000000	6.550664
0.696333	1.157757
-0.31360	-2.82600
0.583283	0.723655
0.669321	1.871366
0.271946	0.182168
-0.19450	-0.61726
0.105848	-1.44768
0.541114	3.106264
0.525948	4.052652
-0.09234	1.471831
0.583035	1.179544
0.297205	-1.28587
0.757476	2.304869
0.520770	0.690667
-0.28871	-2.75699
-0.25240	-6.34631
0.675847	-0.68552
0.768499	2.091335
-0.27046	-0.89442
-0.08212	-4.27346
-0.11829	-1.89884
0.355069	0.428621
-0.34141	-2.29918
0.725247	1.126989
-0.21654	-3.20480
-0.22570	-4.89307
0.587980	-1.17293
-0.31736	-2.77981
-0.29042	-2.73669
-0.33640	-3.00302
0.391203	-0.05167
0.652281	4.067250
0.739818	1.728518
0.683799	5.083066
-0.06408	0.066563
0.675883	-0.02560
0.150033	0.982187
0.723688	0.496830
0.717827	0.684073
-0.30445	-4.51277
-0.16178	-7.64084
0.643863	0.633555
-0.20979	-0.31099
0.206773	1.359056
0.573588	-1.27948
0.416668	-0.42319
0.487199	1.438877
-0.14395	-2.70157
0.436425	-1.43046
0.633778	0.430650
0.550899	0.173630
0.357210	1.185956
0.783700	3.115926
0.364101	-2.11878
0.296029	-4.25058
0.211750	-9.37078
0.275717	-11.9404
0.316636	-11.6054
0.218160	-3.80839
0.339309	-8.47194
0.325130	-5.79970
0.322325	-8.13558
0.223976	-6.14806
0.329781	-4.40591
0.307924	-0.70816
0.128866	1.276119
-0.27028	-2.57840
-0.20847	-3.80596
-0.26778	-2.00786
-0.25260	-2.39825
0.743334	1.026739
-0.33637	-3.12452
-0.32660	-3.48088
-0.36409	-3.62162
-0.35087	-3.61733
0.755336	1.841957
0.122344	-0.81976
-0.30939	-3.21392
0.635069	0.320017
0.102192	-0.77642
-0.12759	-2.21089
-0.20227	-2.64645
0.015604	-0.82065
-0.16299	-2.12082
-0.16394	-1.81801
-0.29312	-3.14606
-0.31429	-4.73593
-0.18662	-0.61093
-0.06658	-1.45112
-0.07247	-3.46873
-0.21585	-2.29110
-0.37910	-4.54698
-0.13529	-1.75190
-0.26501	-2.34202
0.704100	1.261691
0.633855	0.269055
0.389969	-3.29656
0.592422	0.091848
0.010564	0.820589
0.272027	-0.72591
-0.12844	-2.40163
0.829088	2.140481
-0.33133	-3.36018
0.160876	0.724311
0.701850	1.742992
0.571988	0.900132
0.248272	-0.84261
0.490325	0.786523
0.744873	1.421651
0.682073	1.156312
-0.08445	-1.08761
0.709182	1.415848
-0.15041	-1.34807
-0.29351	-0.34470
-0.26919	-3.04489
-0.35015	-3.59879
-0.34271	-3.25062
0.778075	0.768404
0.356456	-0.45964
0.377515	-0.47080
0.298630	-0.66636
-0.32300	-3.69169
-0.36554	-3.90687
0.855139	2.294686
0.731718	2.193963
-0.06377	-1.84168
0.166686	-1.00558
-0.33841	-3.97127
-0.33507	-3.68442
0.128707	1.391491
-0.03228	-2.07710
-0.31956	-2.99559
-0.25694	-1.90304
0.711388	0.834084
0.077722	-1.11366
-0.03749	-2.17469
-0.27968	-3.00749
-0.35577	-4.05838
0.147236	-0.93429
-0.18893	-3.20945
0.380788	-1.06082
0.412195	-0.38851
-0.18872	-3.77018
-0.27083	-2.50313
-0.24124	-3.26094
-0.25718	-3.68825
-0.26315	-2.98260
0.428554	-0.36739
-0.05141	-1.73536
0.024425	  -inf.0
0.049728	-1.54651
-0.31730	-10.4668
-0.28050	-5.65548
-0.18967	-6.76648
-0.31367	-9.75082
-0.28005	-6.37015
-0.26587	-4.67958
-0.23089	-6.02659
-0.14269	-1.82916
-0.22938	-1.33893
-0.25079	-9.77885
-0.27752	-11.4730
-0.47291	-3.70770
-0.21552	-6.22181
-0.08044	-2.42720
-0.35397	-6.74274
-0.15888	  -inf.0
-0.34408	-11.7090
-0.35925	-7.65031
-0.24524	-6.60886
-0.13493	-5.41198
-0.08385	-1.40093
-0.03310	  -inf.0
-0.21538	-7.75511
-0.41186	-2.22780
0.353237	-1.42405
0.228758	-3.67400
0.546316	2.216028
1.000000	3.456058
0.789196	1.239636
0.594221	0.392561
-0.19536	-2.16238
0.581927	0.384480
0.565138	0.607024
0.474051	0.176875
0.498626	0.387558
0.538534	1.716674
0.560923	-1.03449
0.380945	-1.49277
0.223153	0.261754
-0.14072	-2.28467
0.029709	0.232058
0.543380	0.960265
0.568002	1.275369
0.799745	1.290841
0.266483	0.878863
0.594566	0.491469
0.599927	1.383113
0.406898	-0.16161
0.663985	0.948641
