#
# MI and Cosines
#
#
# mi	rmi	cos-mi	cos-rmi
-3.80042	-0.04664	0.649085	0.305911
-0.16397	3.402505	0.768040	0.352654
-0.72438	2.001682	0.260861	0.176447
0.088742	4.804945	0.151051	0.137512
0.651159	2.274645	0.175721	-0.16562
-2.42801	0.530239	0.663660	0.079881
-1.99494	0.604478	0.411161	0.336852
-1.44641	0.494575	0.060895	0.341036
-1.74098	0.452579	0.232139	0.197718
-2.03346	0.364794	-0.08906	0.188389
-2.68507	-1.42722	0.308695	0.421888
-1.94668	-0.18347	0.140068	0.303339
-3.14914	-1.72995	-0.03618	0.152569
-3.77853	-0.88208	0.118317	0.153762
-4.16576	-1.25085	0.206077	0.158695
-0.46113	1.380453	0.331081	0.333718
-1.16827	1.458702	0.409013	0.295010
-1.45586	1.180601	0.044250	0.255745
-4.32357	-2.40085	0.329662	0.120367
-1.95901	0.394874	0.145569	0.317756
-0.75872	1.058279	0.081308	0.294282
-2.75774	0.643366	0.240556	0.146272
-2.78956	0.279686	0.082392	0.186475
-0.13622	2.545332	0.352953	0.470434
-4.06928	-1.84333	0.001811	0.125234
-1.36529	-0.29075	0.206703	0.319267
-0.70199	2.206627	0.366501	0.210204
-4.92863	-3.56048	0.261678	0.081434
-1.26258	0.417473	0.316915	0.229681
0.373079	3.425204	0.511487	0.336681
-2.81496	-0.87346	0.228897	0.192141
-3.07983	-1.46018	0.305170	0.112804
-1.52026	1.313598	0.037269	0.217156
-1.77038	1.449668	0.365650	0.229821
-2.61551	1.738926	0.352104	0.102282
0.439518	4.534260	0.253574	0.180194
1.274562	2.276588	0.102095	-0.21865
4.554655	8.022146	0.894067	0.672042
-3.93074	-1.08471	0.468251	0.050250
8.412385	11.41383	1.000000	1.000000
-3.08329	-1.81623	0.399186	0.389374
-2.72199	0.032840	0.360914	0.113451
-5.77883	-3.68243	-0.48281	-0.46690
-2.54702	-0.16779	0.543701	0.388070
-5.29089	-3.54276	-0.15119	-0.21515
-4.55766	-2.00399	-0.42778	-0.43386
-3.57561	-1.93970	0.187691	0.104367
-3.49820	-2.08495	0.111743	0.130804
-7.26284	-4.01055	-0.40267	-0.52288
-2.30520	-0.73724	0.294933	0.252124
-3.54275	-1.62413	-0.08484	-0.13354
-4.88684	-3.31224	-0.30918	-0.32385
-11.4285	-8.37669	-0.22052	-0.51440
-2.14711	-1.35020	0.303685	0.328138
-5.40551	-3.00884	-0.26034	-0.43275
-8.69175	-5.62143	-0.02054	-0.38734
-9.35337	-5.82715	-0.20478	-0.49688
-3.77249	-2.66839	0.450539	0.439747
-8.15030	-5.89273	-0.50389	-0.52456
-3.91099	-0.66003	0.429706	-0.11723
-3.85705	-0.85682	-0.13537	-0.30359
-6.10050	-3.30863	-0.44312	-0.50874
-3.88554	-1.96393	0.333302	0.215056
-4.09414	-2.08438	-0.30504	-0.33149
